Plate,Sample_Type,Group,Mouse_ID,True_Conc_pg_mL,Replicate,Raw_OD450
Plate_3,Experimental,Low-dose Treatment,Mouse_21,209.76,2,1.7392
Plate_3,Experimental,Low-dose Treatment,Mouse_22,230.34,1,1.633
Plate_3,Experimental,Low-dose Treatment,Mouse_22,230.34,2,1.6258
Plate_3,Experimental,High-dose Treatment,Mouse_29,56.16,1,0.7483
Plate_3,Experimental,High-dose Treatment,Mouse_29,56.16,2,0.7401
Plate_3,Experimental,High-dose Treatment,Mouse_30,72.01,1,0.8961
Plate_3,Experimental,High-dose Treatment,Mouse_30,72.01,2,0.9003
Plate_4,Experimental,Healthy Control,Mouse_07,15.35,1,0.2584
Plate_4,Experimental,Healthy Control,Mouse_07,15.35,2,0.2706
Plate_4,Experimental,Healthy Control,Mouse_08,9.13,1,0.183
Plate_4,Experimental,Healthy Control,Mouse_08,9.13,2,0.1739
Plate_4,Experimental,Disease/Inflammation,Mouse_15,565.72,1,2.5105
Plate_4,Experimental,Disease/Inflammation,Mouse_15,565.72,2,2.3507
Plate_4,Experimental,Disease/Inflammation,Mouse_16,488.55,1,2.0902
Plate_4,Experimental,Disease/Inflammation,Mouse_16,488.55,2,2.2956
Plate_4,Experimental,Low-dose Treatment,Mouse_23,226.66,1,1.6507
Plate_4,Experimental,Low-dose Treatment,Mouse_23,226.66,2,1.8036
Plate_4,Experimental,Low-dose Treatment,Mouse_24,173.4,1,1.6261
Plate_4,Experimental,Low-dose Treatment,Mouse_24,173.4,2,1.474
Plate_4,Experimental,High-dose Treatment,Mouse_31,73.43,1,0.9616
Plate_4,Experimental,High-dose Treatment,Mouse_31,73.43,2,0.9364
Plate_4,Experimental,High-dose Treatment,Mouse_32,65.46,1,0.88
Plate_4,Experimental,High-dose Treatment,Mouse_32,65.46,2,0.9254
